artikelnummer,omschrijving,hs_code
2228,Nummerhouders Start (set van 2),3926909790
2229,Nummerhouder Shine,4205009000
2230,Nummerhouder Modeste round,4205009000
2231,Nummerhouder Modeste square,4205009000
2232,Eén hand teugel,4201000090
2234,Borsttuig met handvat,4201000090
2237,Nummerhouders Quatro (set van 2),4205009000
2238,Teugel eenzijdig anti-slip met clip,4201000090
2239,Nummerhouder Clip,4205009000
2240,Nummerhouder Clip Shine,4205009000
2241,Nummerhouder Clover,4205009000
2242,Nummerhouder Heart,4205009000
2243,Nummerhouder Horseshoe,4205009000
2244,Nummerhouder Unicorn,4205009000
2245,Beugelriem Sensisoft,4201000090
2246,Watertrens Anatomisch,4201000090
2247,Watertrens Anatomisch dubbelgebroken,4201000090
2248,Bustrens Anatomisch,4201000090
2249,Bustrens Anatomisch dubbelgebroken,4201000090
2250,Teugel Liberta,4201000090
2251,Frontriem Skye,4201000090
2252,Sporenriempjes Lagos,4203300090
2253,Nummerhouder Jipp,4205009000
2254,Trailerlijn elastisch 60cm,4201000090
2255,Borsttuig met lange brug,4201000090
2256,Watertrens Flexi,4201000090
2257,Bustrens Flexi,4201000090
2258,Sporenriempjes Avenna,4203300090
2259,Frontriem Livora,4201000090
2260,Kneveltrens Anatomisch,4201000090
2261,Kneveltrens Anatomisch dubbelgebroken,4201000090
2262,Kneveltrens Flexi,4201000090
2263,Bitringen comfort,4201000090
2264,Borstriem Kerst,4201000090
2265,Teugel anti-slip met stops Fjara Icelandic,4201000090
2266,Webteugel Glitter,4201000090
2267,Baby pelham Anatomisch dubbelgebroken,4201000090
2268,Baby pelham Anatomisch,4201000090
2269,Kinkettingbeschermer bont,4201000090
2270,Kinkettingbeschermer leer,4201000090
2271,Pelhamriempjes,4201000090
2272,Frontriem Zavi,4201000090
2273,Beugelriem Junior,4201000090
2274,Jachtteugel,4201000090
2278,Frontriem Aelinn,4201000090
2508,Hoofdstel draft horse Elegance incl. teugel,4201000090
2515,Trailerlijn 60cm,4201000090
2516,Hoofdstel Icelandic Frosti incl. teugel,4201000090
2518,Voorbreng hoofdstel Luxe,4201000090
2519,Borsttuig Ontario,4201000090
2520,Borsttuig Ontario bontset,4201000090
2522,Vastzetlijn 90cm,4201000090
3005,Singel elastisch,4201000090
3021,Singel leer luxe stiksel,4201000090
3022,Singel buikflap luxe,4201000090
3025,Longeer/tuig onderlegger,4201000090
3059,Kerst zadeldek,4201000090
3100,Shetland zadel,4201000090
3101,Complete zadelset,4201000090
3108,Zadelonderlegger memory foam,4201000090
3113,Zadelhoes fleece,4201000090
3116,Zadeldek Eldorado,4201000090
3131,Memory foam pad Ontario,4201000090
3132,Longeersingel Color,4201000090
3138,Zadelhoes turnout extra,4201000090
3145,Veelzijdigheidssingel Ontario,4201000090
3146,Dressuursingel Ontario,4201000090
3147,Bareback pad,4201000090
3148,Zadeldek Florence,4201000090
3163,QHP Zadelhoes,4202929890
3181,Bareback pad super soft,4201000090
3200,Veelzijdigheidssingel Basic pro,4201000090
3201,Veelzijdigheidssingel Memory,4201000090
3202,Dressuursingel Basic pro,4201000090
3203,Dressuursingel Memory,4201000090
3205,Zadeldek Sparkle,4201000090
3217,Singel buikflap met afneembaar bont,4201000090
3218,Veelzijdigheidssingel Air Mesh,4201000090
3219,Dressuursingel Air Mesh,4201000090
3220,Longeer/tuig onderlegger Air Mesh,4201000090
3221,Zadelonderlegger Air Mesh,4201000090
3223,Bareback pad Ontario,4201000090
3224,Zadeldek Salerno,4201000090
3225,Singelverlenger,4201000090
3226,Zadelzitting overtrek super soft,4201000090
3231,Zadeldek nummer,4201000090
3237,Longeersingel Padded,4201000090
3238,Zadelzitting overtrek memory foam,4201000090
3239,Complete zadelset Melbourne,4201000090
3240,Zadeldek Sensisoft,4201000090
3241,Veelzijdigheidssingel Sensisoft,4201000090
3242,Zadeldek Lyvia,4201000090
3243,Zadeldek Firenze,4201000090
3244,Zadelhoes collection,4201000090
3245,Zadeldek Aubree,4201000090
3246,Zadeldek Oakleigh,4201000090
3247,Zadeldek Rosalynn,4201000090
3248,Bareback pad Rosalynn,4201000090
3249,Dressuursingel Glitter,4201000090
3250,Zadeldek Kivah,4201000090
3251,Zadelonderlegger Zinya,4201000090
3252,Buiksingel verlengers,4201000090
3253,Zadelhoes collection,4201000090
3255,Zadeldek Isalyn,4201000090
3256,Zadeldek Livora,4201000090
3257,Zadeldek Avenna,4201000090
3258,Zadeldek Glitter,4201000090
3259,Zadeldek Kerst,4201000090
3260,Zadeldek Avyra,4201000090
3261,Zadeldek Victorio,4201000090
3262,Zadeldek Fjara Icelandic,4201000090
3263,Zadelhoes collection,4201000090
3264,Zadelhoes Krizzy,4201000090
3265,Zadeldek Marivelle,4201000090
3267,Bareback pad Krizzy,4201000090
3268,Dressuursingel neopreen,4201000090
3270,Zadeldek met tas,4201000090
4002,Reflectie beenbanden (per 2),4201000090
4007,Transport beschermers turnout,4201000090
4021,Cooling peesbeschermer,4201000090
4022,Springschoenen rubber,4201000090
4024,Bandage kerst,4201000090
4033,Peesbeschermers,4201000090
4034,Strijklappen,4201000090
4042,Warming/cooling kompres,4201000090
4045,Eventing voorbeenbeschermers technical,4201000090
4046,Eventing achterbeenbeschermers technical,4201000090
4049,Springschoenen technical,4201000090
4053,Springschoenen neopreen,4201000090
4058,Hoefbevochtiger,4201000090
4060,Peesbeschermers Champion,4201000090
4061,Strijklappen Champion,4201000090
4068,Cooling bandage,4201000090
4069,Peesbeschermers Ontario,4201000090
4070,Strijklappen Ontario,4201000090
4071,Springschoenen Ontario,4201000090
4077,Peesbeschermersset,4201000090
4079,Stal en transport beschermers,4201000090
4090,Strijklappen Rio,4201000090
4091,Strijklappen Champ,4201000090
4092,Strijklappen Tario,4201000090
4106,Strijklappen Menton,4201000090
4112,Beenbeschermers Air Mesh,4201000090
4114,Beenbeschermers Livora,4201000090
4115,Voorbeenbeschermers Champion,4201000090
4116,Peesbeschermers Sensisoft,4201000090
4117,Strijklappen Sensisoft,4201000090
4118,Springschoenen Sensisoft,4201000090
4119,Beenbeschermers anti-vlieg (set van 2),4201000090
5001,Rijzweep Bambini,6602000090
5002,Longeerzweep,6602000090
5006,Oornetje Color,4201000090
5021,Hooinetje,5608191100
5022,Vliegenfrontriem,4201000090
5027,Springzweep bello,6602000090
5032,Dressuurzweep,6602000090
5033,Dressuurzweep doma,6602000090
5035,Vliegenfrontriem extra,4201000090
5036,Hooinet giant 5cm maas,5608191100
5039,Praam hout,4421999999
5048,Springzweep comfort,6602000090
5059,Vliegenmasker met oren,4201000090
5060,Vliegenmasker zonder oren,4201000090
5063,Poetstas,4202929890
5066,Dressuurzweep elegant,6602000090
5069,Neusnetje,4201000090
5070,Liksteen,2501009900
5075,Springzweep crystal,6602000090
5076,Dressuurzweep crystal,6602000090
5086,Kinderzweep Felix,6602000090
